players_ID,team_ID,name,position,field_position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1,1,Diego Alves,Goalkeeper,GLK,35,Brazil,1.87,left,2017-07-16,Valencia CF,2020-12-31,3.3,https://www.transfermarkt.com/diego-alves/profil/spieler/42373
2,1,Hugo Souza,Goalkeeper,GLK,21,Brazil,1.96,both,2019-08-31,Clube de Regatas do Flamengo U20,2023-09-30,0.53,https://www.transfermarkt.com/hugo-souza/profil/spieler/574901
3,1,Cesar,Goalkeeper,GLK,28,Brazil,1.94,right,2013-01-01,Clube de Regatas do Flamengo U20,2022-04-30,0.47,https://www.transfermarkt.com/cesar/profil/spieler/177776
4,1,Thiago da Silva,Goalkeeper,GLK,24,Brazil,1.85,right,2016-01-01,Clube de Regatas do Flamengo U20,2020-12-31,0.12,https://www.transfermarkt.com/thiago-da-silva/profil/spieler/294817
5,1,Gabriel Batista,Goalkeeper,GLK,22,Brazil,1.88,right,2017-01-01,Clube de Regatas do Flamengo U20,2022-12-31,0.06,https://www.transfermarkt.com/gabriel-batista/profil/spieler/401535
6,1,Rodrigo Caio,Centre-Back,DEF,26,Brazil,1.83,right,2019-01-01,Sao Paulo Futebol Clube,2023-12-31,5.66,https://www.transfermarkt.com/rodrigo-caio/profil/spieler/172054
7,1,Leo Pereira,Centre-Back,DEF,24,Brazil,1.89,left,2020-01-28,Club Athletico Paranaense,2024-12-31,4.72,https://www.transfermarkt.com/leo-pereira/profil/spieler/288431
8,1,Gustavo Henrique,Centre-Back,DEF,27,Brazil,1.96,right,2020-01-13,Santos FC,2023-12-31,2.83,https://www.transfermarkt.com/gustavo-henrique/profil/spieler/208681
9,1,Thuler,Centre-Back,DEF,21,Brazil,1.85,right,2018-01-01,Clube de Regatas do Flamengo B,2023-07-14,0.53,https://www.transfermarkt.com/thuler/profil/spieler/549815
10,1,Matheus Dantas,Centre-Back,DEF,21,Brazil,1.86,right,,N.A.,2020-12-31,0.06,https://www.transfermarkt.com/matheus-dantas/profil/spieler/587349
11,1,Filipe Luis,Left-Back,DEF,34,Brazil,1.82,left,2019-07-23,Atletico Madrid,2021-12-31,2.36,https://www.transfermarkt.com/filipe-luis/profil/spieler/21725
12,1,Rene,Left-Back,DEF,27,Brazil,1.74,left,2017-02-06,Sport Club do Recife,2022-12-31,1.89,https://www.transfermarkt.com/rene/profil/spieler/212209
13,1,Rafinha,Right-Back,DEF,34,Brazil,1.72,right,2019-07-01,Bayern Munich,2021-12-31,2.83,https://www.transfermarkt.com/rafinha/profil/spieler/33947
14,1,Joao Lucas,Right-Back,DEF,22,Brazil,1.81,right,2019-05-09,Bangu Atletico Clube (RJ),2021-12-31,0.12,https://www.transfermarkt.com/joao-lucas/profil/spieler/672292
15,1,Thiago Maia,Defensive Midfield,MID,23,Brazil,1.79,left,2020-01-22,LOSC Lille,2021-06-30,3.78,https://www.transfermarkt.com/thiago-maia/profil/spieler/294873
16,1,Piris da Motta,Defensive Midfield,MID,26,Paraguay,1.8,right,2018-08-01,Club Atletico San Lorenzo de Almagro,2022-12-31,1.89,https://www.transfermarkt.com/piris-da-motta/profil/spieler/273033
17,1,Gerson,Central Midfield,MID,23,Brazil,1.84,left,2019-07-12,AS Roma,2023-12-31,12.98,https://www.transfermarkt.com/gerson/profil/spieler/341705
18,1,Willian Arao,Central Midfield,MID,27,Brazil,1.81,right,2016-01-01,Botafogo Rio de Janeiro,2023-12-31,4.72,https://www.transfermarkt.com/willian-arao/profil/spieler/210747
19,1,Hugo Moura,Central Midfield,MID,22,Brazil,1.77,right,,N.A.,2023-12-31,0.06,https://www.transfermarkt.com/hugo-moura/profil/spieler/644157
20,1,Vinicius Souza,Central Midfield,MID,21,Brazil,1.87,right,2019-08-31,Clube de Regatas do Flamengo U20,2021-12-31,0.0,https://www.transfermarkt.com/vinicius-souza/profil/spieler/663581
21,1,Everton Ribeiro,Right Midfield,MID,31,Brazil,1.74,left,2017-06-20,Al-Ahli Dubai Club,2023-12-31,7.67,https://www.transfermarkt.com/everton-ribeiro/profil/spieler/52896
22,1,Giorgian de Arrascaeta,Attacking Midfield,MID,26,Uruguay,1.74,right,2019-01-12,Cruzeiro Esporte Clube,2023-12-31,17.7,https://www.transfermarkt.com/giorgian-de-arrascaeta/profil/spieler/248410
23,1,Diego,Attacking Midfield,MID,35,Brazil,1.73,right,2016-07-19,Fenerbahce SK,2020-12-31,3.3,https://www.transfermarkt.com/diego/profil/spieler/4248
24,1,Lazaro,Attacking Midfield,MID,18,Brazil,1.81,right,2020-01-27,Clube de Regatas do Flamengo U20,2025-03-10,2.12,https://www.transfermarkt.com/lazaro/profil/spieler/574772
25,1,Bruno Henrique,Left Winger,ATT,29,Brazil,1.84,right,2019-01-23,Santos FC,2023-12-31,6.14,https://www.transfermarkt.com/bruno-henrique/profil/spieler/353108
26,1,Vitinho,Left Winger,ATT,26,Brazil,1.8,both,2018-07-30,CSKA Moscow,2022-12-31,5.66,https://www.transfermarkt.com/vitinho/profil/spieler/213605
27,1,Michael,Left Winger,ATT,24,Brazil,1.66,right,2020-01-20,Goias Esporte Clube,2024-12-31,4.72,https://www.transfermarkt.com/michael/profil/spieler/520392
28,1,Pedro Rocha,Left Winger,ATT,25,Brazil,1.75,right,2020-01-01,Spartak Moscow,2020-12-31,2.83,https://www.transfermarkt.com/pedro-rocha/profil/spieler/362844
29,1,Lucas Silva,Left Winger,ATT,22,Brazil,1.76,right,,N.A.,2020-12-31,0.38,https://www.transfermarkt.com/lucas-silva/profil/spieler/644158
30,1,Gabriel Barbosa,Centre-Forward,ATT,23,Brazil,1.78,left,2020-01-28,Inter Milan,2024-12-31,21.83,https://www.transfermarkt.com/gabriel-barbosa/profil/spieler/244275
31,1,Pedro,Centre-Forward,ATT,23,Brazil,1.85,right,2020-01-23,ACF Fiorentina,2020-12-31,14.16,https://www.transfermarkt.com/pedro/profil/spieler/432895
32,1,Lincoln,Centre-Forward,ATT,19,Brazil,1.78,right,2018-01-01,Clube de Regatas do Flamengo U20,2023-12-31,6.37,https://www.transfermarkt.com/lincoln/profil/spieler/372046
33,2,Weverton,Goalkeeper,GLK,32,Brazil,1.89,right,2018-01-01,Atletico Paranaense,2024-12-31,4.13,https://www.transfermarkt.com/weverton/profil/spieler/69400
34,2,Jailson,Goalkeeper,GLK,39,Brazil,1.86,right,2014-10-02,Ceara Sporting Club,2020-12-31,0.29,https://www.transfermarkt.com/jailson/profil/spieler/112940
35,2,Vinicius Silvestre,Goalkeeper,GLK,26,Brazil,1.95,right,2013-07-01,SE Palmeiras B,2021-12-31,0.12,https://www.transfermarkt.com/vinicius-silvestre/profil/spieler/286772
36,2,Vitor Hugo,Centre-Back,DEF,29,Brazil,1.87,left,2019-07-29,ACF Fiorentina,2024-06-30,5.66,https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752
37,2,Gustavo Gomez,Centre-Back,DEF,27,Paraguay,1.85,right,2020-07-01,AC Milan,,4.13,https://www.transfermarkt.com/gustavo-gomez/profil/spieler/215390
38,2,Luan,Centre-Back,DEF,27,Brazil,1.86,right,2017-04-05,Club de Regatas Vasco da Gama,2023-03-31,1.89,https://www.transfermarkt.com/luan/profil/spieler/178984
39,2,Emerson Santos,Centre-Back,DEF,25,Brazil,1.84,right,2018-01-01,Botafogo Rio de Janeiro,2022-12-31,0.94,https://www.transfermarkt.com/emerson-santos/profil/spieler/382171
40,2,Diogo Barbosa,Left-Back,DEF,27,Brazil,1.79,left,2018-01-01,Coimbra Esporte Clube Ltda (MG),2022-12-25,4.13,https://www.transfermarkt.com/diogo-barbosa/profil/spieler/167724
41,2,Matias Vina,Left-Back,DEF,22,Uruguay,1.8,left,2020-01-31,Club Nacional,2024-12-31,2.36,https://www.transfermarkt.com/matias-vina/profil/spieler/439072
42,2,Victor Luis,Left-Back,DEF,27,Brazil,1.8,left,2013-07-01,SE Palmeiras B,2022-12-31,1.53,https://www.transfermarkt.com/victor-luis/profil/spieler/234538
43,2,Lucas Esteves,Left-Back,DEF,20,Brazil,1.71,left,2020-01-01,SE Palmeiras B,2024-12-31,0.06,https://www.transfermarkt.com/lucas-esteves/profil/spieler/688668
44,2,Marcos Rocha,Right-Back,DEF,31,Brazil,1.76,right,2019-01-10,Clube Atletico Mineiro,2022-12-31,2.36,https://www.transfermarkt.com/marcos-rocha/profil/spieler/75435
45,2,Mayke,Right-Back,DEF,27,Brazil,1.78,right,2019-01-01,Cruzeiro Esporte Clube,2023-12-31,1.53,https://www.transfermarkt.com/mayke/profil/spieler/147361
46,2,Fabiano,Right-Back,DEF,28,Brazil,1.88,right,2017-01-11,Cruzeiro Esporte Clube,2021-12-31,1.18,https://www.transfermarkt.com/fabiano/profil/spieler/271335
47,2,Gabriel Menino,Defensive Midfield,MID,19,Brazil,1.76,right,2020-01-01,SE Palmeiras B,2024-12-31,4.25,https://www.transfermarkt.com/gabriel-menino/profil/spieler/608216
48,2,Felipe Melo,Defensive Midfield,MID,37,Brazil,1.83,right,2017-07-01,Inter Milan,2021-12-30,0.94,https://www.transfermarkt.com/felipe-melo/profil/spieler/35537
49,2,Patrick de Paula,Defensive Midfield,MID,20,Brazil,1.8,left,2020-01-01,SE Palmeiras B,2024-06-30,0.29,https://www.transfermarkt.com/patrick-de-paula/profil/spieler/737821
